id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
87,2.8558,17,3.586357039,0.911167513,662,1.64957265,33.16,-117.08,2.269
88,8.0957,26,7.554166667,1.083333333,1751,3.283333333,33.74,-118.02,4.537
89,3.6538,28,5.334975369,1.068965517,1063,3.768270945,36.6,-121.84,2.239
90,2.7714,13,3.614849188,1.064643799,3163,2.26874536,34.15,-118.25,1.798
91,3.6875,24,5.423357664,1.058394161,413,2.850364964,34.15,-117.27,0.831
92,5.611,32,7.104854369,1.039548023,1033,2.866019417,34.2,-118.63,3.119
93,2.3681,33,4.514869888,1.078740157,1620,1.826940493,37.77,-122.43,0.888
94,2.3886,18,2.629823414,1.049913941,1326,2.844011142,37.35,-121.86,1.158
95,3.0521,17,5.586614173,1.05511811,1250,2.201716738,39.72,-122.13,0.896
96,6.155,21,6.261904762,0.91547619,1243,3.357142857,34.24,-118.62,3.328
97,1.8664,35,5.068965517,1.137931034,661,2.868965517,39.95,-122.17,0.629
98,7.7865,14,8.754639175,0.963921898,1114,2.623655914,37.89,-122.3,3.968
99,5.2571,24,6.281399046,1.046728972,1816,3.413114754,34.1,-117.84,2.3
100,6.1601,25,6.589686099,1.005524862,1053,2.426267281,37.31,-122,4.447
101,1.1859,49,3.602620087,1.058786346,1842,1.836794582,38.04,-122.29,1.375
102,7.2096,21,7.158371041,0.97480315,1463,2.653092006,34.11,-118.03,4.795
103,2.3284,17,5.914438503,0.972536688,1887,2.929480901,38.94,-121.08,0.983
104,3.6111,19,5.539735099,1.04587156,1408,3.286415712,34.96,-120.43,1.158
105,2.5947,21,4.821316614,1.031496063,1272,3.114992722,38.68,-121.38,0.929
106,1.3444,10,4.081632653,1.071428571,2860,3.071428571,34.17,-117.34,0.844
107,4.2411,35,5.677067083,1.029182879,1241,3.463210702,33.91,-118,1.837
108,4.0911,39,5.324324324,1.110810811,1501,2.053244595,33.62,-117.87,5.00001
109,15.0001,17,8.642585551,1.027739251,1674,3.311518325,34.15,-118.83,5.00001
110,2.087,39,3.606761566,1.128113879,1347,4.005586592,32.75,-117.1,1.134
111,3.8095,42,4.95958159,1.041899441,1206,2.914529915,32.73,-117.13,1.107
112,3.6745,10,4.462068966,1.080172414,1399,2.065395095,37.34,-122.07,2.81
113,5.5,4,7.47706422,1.061371841,1769,2.685920578,32.79,-116.94,3.404
114,2.148,21,4.842201835,1.064516129,2127,3.414746544,36.73,-119.76,0.647
115,1.8771,29,3.430601093,1.087171053,703,1.724431818,38.44,-122.83,1.558
116,3.0433,27,5.665768194,1.038884193,1885,2.494423792,37.48,-120.84,1.697
117,2.4632,15,4.276619048,1.134146341,1765,1.793499044,34.05,-117.73,1.087
118,5.3245,52,6.226950355,0.973995272,1114,2.63356974,37.78,-122.44,4.097
119,3.5744,28,5.290388548,1.106639839,1439,2.523980815,34.43,-119.59,4.513
120,5.2337,31,4.964285714,1.088536585,871,2.18902439,34.07,-118.4,5.00001
121,3.4118,28,5.73880597,1.148255814,842,2.831395349,38.46,-122.82,1.717
122,4.1064,17,6.208154506,1.0642978,1503,2.53986711,37.69,-120.91,1.456
123,3.1551,37,4.212523719,1,844,2.247734139,34.03,-118.44,4.07
124,4.9716,16,6.766871166,1.073619632,446,2.736196319,33.74,-116.97,2.733
125,2.8448,43,3.896797153,1.044568245,1291,3.835443038,34.04,-118.21,1.291
126,4.1333,32,5.78425656,1.048672566,1783,3.204081633,34.04,-117.95,1.541
127,3.5461,36,5.56504065,1.036036036,1098,3.081081081,37.75,-122.14,1.522
128,2.8798,29,4.486486486,1,1634,2.168039539,34.01,-118.11,1.456
129,3.6485,12,3.624254475,1.027003484,3049,3.592267135,37.32,-120.49,1.27
130,4.0114,46,5.659025788,1.001669052,1335,3.243027888,37.73,-122.39,2.117
131,2.29,19,5.330561331,1.090909091,1147,3.101010101,33.8,-116.96,0.964
132,4.3827,45,5.959558824,1.055147059,1551,2.647058824,33.79,-118.12,2.373
133,1.1557,17,3.83234127,1.070731707,1423,4.361038961,32.55,-117.06,0.9
134,2.4167,36,6.5,1.06122449,952,3.844897959,37.4,-121.06,0.702
135,1.7348,28,4.174545455,1.104545455,1060,2.940454545,34.17,-118.3,1.256
136,1.939,30,3.073529412,1.066176471,434,1.698823529,33.77,-118.16,1.825
137,2.7206,30,3.486666667,1.071759259,1369,1.849489796,32.76,-117.11,1.403
138,3,15,5.492063492,1.044871795,568,2.634285714,36.83,-119.72,0.903
139,7.4574,42,6.76557377,1.082758621,990,2.827586207,33.97,-118.39,3.813
140,4.7589,34,6.827586207,1.082758621,802,2.887931034,38,-122.02,1.792
141,3.0305,26,4.444253859,1.154228856,4749,4.182620502,32.58,-117.08,1.26
142,2.2409,46,4.947976879,1.026022305,753,3.169550173,37.8,-122.41,0.754
143,5.8735,12,6.376899696,1.045908184,1986,2.500948767,33.71,-117.84,2.48
144,2.6226,33,3.530612245,1.169387755,3056,3.579591837,34.09,-117.73,1.738
145,5.1834,15,4.927835052,0.954022989,2072,2.415697674,33.89,-117.52,1.385
146,4.4464,35,5.773399015,1.002463054,661,2.916256158,33.91,-118.37,3.5
147,1.9704,15,3.853467562,1.068432671,467,2.145874263,32.74,-117.08,1.22
148,2.0745,11,4.419700214,1.077046549,1600,2.719876416,33.23,-117.33,1.213
149,0.9797,49,4.346590909,1.125,626,2,37.76,-122.19,0.923
150,5.8252,22,7.84341637,1.038369305,2031,2.484460695,32.82,-117.25,5
151,1.8798,42,4.834008097,1,553,2.362537764,37.98,-121.26,0.602
152,1.6303,12,4.816770186,1,1208,4.751445087,35.26,-118.91,0.517
153,2.0469,18,4.743362832,1.097315436,2307,2.890973451,33.84,-116.96,0.748
154,3.9306,23,4.907407407,1,1046,3.299259259,33.72,-117.89,1.898
155,8.7385,36,6.292682927,0.932539683,674,2.329268293,34.23,-118.32,3.218
156,2.8994,7,4.729765013,1.039776979,3412,3.527488856,37.83,-121.28,1.125
157,3.4205,33,5.836333333,0.974517304,2237,4.154269972,36.6,-119.44,1.406
158,3.3864,38,4.953271028,1.00754717,996,3.571428571,34.07,-117.92,1.873
159,2.225,12,5.226069246,1.066079295,2042,3.037572254,37.92,-121.26,0.788
160,3.125,9,4.89957265,1.031165312,1116,4.270627063,34.04,-117.69,1.938
161,3.8631,20,4.352494577,1.016241299,1777,2.312046424,33.68,-117.97,2.046
162,5.2079,23,5.893175074,1.077300613,1147,3.331288344,34.2,-118.91,1.984
163,1.4267,52,4.291845494,1.038626609,1835,2.17334576,34.12,-117.31,0.7
164,2.7667,27,4.183673469,1.026049822,1044,3.334831461,32.75,-117.11,1.188
165,2.7339,8,4.393053016,1.052401747,3237,2.417040359,33.13,-117.06,1.31
166,8.3203,22,7.098591549,0.96728972,851,2.873239437,34.44,-119.67,5.00001
167,3.7969,27,5.318781726,1.019848771,3152,2.947761194,33.83,-117.97,2.724
168,1.7708,52,4.84375,1,150,2.125,38.57,-121.5,0.692
169,4.4423,28,5.602179837,1.01529052,1421,3.223727811,32.68,-117.04,1.5
170,1.5872,34,3.945429741,1.015558699,2082,3.269286167,34.09,-118.18,1.625
171,3.0222,33,6.11018711,1.21042471,1343,2.943729373,35.33,-119.12,2.603
172,2.7694,17,4.471930907,1.096322242,3954,3.447037702,32.6,-117.05,1.52
173,0.9283,52,2.608108108,1.108108108,994,1.477430556,37.77,-122.41,0.875
174,5.2639,16,6.089593384,1.002254791,2046,3.371352785,37.41,-121.87,2.639
175,2.6136,34,5.628828829,1.096774194,835,3.833333333,33.78,-118.16,1.42
176,5.5248,19,5.959550562,1.028089888,874,2.764044944,37.75,-121.91,3.152
177,3.994,25,4.273846154,1.085416667,6307,3.021538462,34.01,-117.98,2.075
178,2.6368,28,3.093264249,1.004415011,1674,4.112021858,37.32,-121.83,1.627
179,6.195,12,6.663711584,1.078354554,2082,3.049755302,37.24,-121.9,2.58
180,4.0878,27,5.843501326,1.038374718,1207,3.167108753,34.26,-118.54,2.328
181,3.3882,14,5.891774892,1.153846154,1131,3.066137566,33.71,-117.99,2.049
182,2.1865,16,5.223880597,1.147540984,1250,2.527611044,40.59,-122.41,1.276
183,3.7273,39,3.933940774,1.056047198,1200,2.733485194,36.6,-121.88,3.304
184,5.32,25,6.572944297,1.02507837,3043,2.922396857,38.7,-121.09,2.216
185,2.6583,37,3.350574713,1.051724138,2184,5.006042296,33.8,-118.19,1.518
186,4.9375,19,6.289617486,1.026058632,2474,3.251028807,34.27,-119.17,2.413
187,6.9324,17,7.315359477,0.947712418,976,2.578034682,37.25,-121.98,5.00001
188,3.9032,25,4.933949843,1.067371202,1872,2.656036446,34.24,-118.54,2.155
189,2.8393,37,4.43315508,1.047961631,1546,3.031674208,37.94,-122.35,1.563
190,4.8359,26,6.104536489,1.100478469,1264,2.733736762,34.23,-118.5,2.318
191,3.2308,47,4.576434109,1.012035011,1213,2.407678245,38.12,-122.26,1.487
192,1.9386,29,3.683962264,1.081632653,1350,3.836206897,34.01,-118.32,1.25
193,12.8763,35,7.299528302,0.975490196,1272,2.833723651,37.43,-122.2,5.00001
194,2.5156,14,5.375757576,1.078787879,891,3.666666667,34.45,-119.45,0.818
195,3.6429,44,4.639431616,1.072404372,1823,2.240437158,37.76,-122.16,1.742
196,3.725,15,5.412935323,1.067251462,3074,3.11452514,34.09,-118,1.857
197,1.7427,28,2.16918429,1.044984199,1690,3.976331361,34.09,-118.29,1.25
198,1.7176,46,3,1,1980,4,33.96,-118.21,1.405
199,4.7099,18,5.727699531,1.024287516,3085,2.257861635,38.41,-122.31,3.097
200,4.0077,30,5.328895184,1.101736973,2082,2.362282878,37.95,-122.29,2.386
201,5.0796,37,5.722154223,0.981191223,1431,2.495049505,34.21,-118.61,2.827
202,2.8125,44,3.512071429,1.082508251,1000,3.214521452,37.7,-122.12,1.564
203,2.8299,26,3.476635514,1.083601286,1799,1.632160804,34.18,-118.49,2.75
204,3.1603,35,4.310794781,1.118568233,1508,2.428380187,34.7,-118.16,1.432
205,5.5,17,5.193661972,1.051873199,2115,2.666666667,33.74,-117.89,2.653
206,1.5109,33,4.376623377,1.008658009,751,2.84965035,36.64,-119.82,0.571
207,3.6133,35,5.933911159,1.016518424,1605,2.434466019,34.96,-120.43,1.566
208,3.5714,18,5.488958991,0.988058252,1787,3.94703657,33.93,-117.46,1.392
209,1.9044,39,3.223097113,1.038860104,2694,3.39088729,34.1,-118.21,1.854
210,3.5,25,4.695652174,1.004347826,830,2.956521739,33.96,-118.12,1.932
211,12.2138,2,9.860169492,1.11440678,3082,3.809322034,33.58,-117.36,5.00001
212,4.3472,17,6.117263844,1.075170843,1479,3.278501629,34.14,-117.84,2.269
213,2.8097,26,4.599337748,1.082758621,2805,3.619205298,34.08,-118.21,1.408
214,3.7049,26,4.348360656,1.05942623,1578,3.233606557,33.93,-118.04,1.585
215,4.2386,42,4.5,1.044520548,1060,2.098765432,37.31,-121.95,2.841
216,1.7062,39,3.46780303,1.035925421,2015,3.851190476,33.9,-118.27,1.015
217,0.8738,17,3.981595092,1.052064632,1447,2.027944112,33.77,-118.18,1.375
218,3,20,3.690789474,1.081632653,562,2.581632653,32.82,-116.95,1.58
219,3.0877,30,4.646118721,1.074349398,764,3.038314176,34.1,-117.97,1.362
220,2.8125,14,4.847826087,0.990415335,900,2.27982327,32.78,-116.94,1.608
221,2.3547,15,5.242236025,1.049792531,981,3.367449664,40.26,-122.26,1.053
222,3.2642,34,5.490066225,1.071881607,1178,2.463203463,36.79,-119.77,0.939
223,3.5878,27,3.664921466,1.071701721,1647,1.636871508,34.17,-118.26,2.905
224,3.1739,19,5.740869565,1.054347826,1172,2.908695652,34.13,-117.34,1.042
225,3.375,20,3.961538462,1.037037037,1849,2.28649635,37.77,-122.27,3.372
226,3.7167,14,5.251271617,1.046462513,3571,3.125131991,38.03,-121.55,0.996
227,10.3613,29,8.11827957,1.014388489,1571,3.244680851,37.86,-122.01,5.00001
228,2.1538,34,4.827922078,1.074324324,1543,2.85989011,34.2,-117.27,0.875
229,3.7178,25,5.786796537,1.047169811,2568,2.722641509,38.34,-122.45,1.683
230,3.6583,31,5.510729614,1,537,2.605055292,38.5,-121.52,1.293
231,6.3523,18,6.596685083,1.039083558,4438,3.279005525,37.23,-121.81,2.674
232,2.9625,34,4.362916006,1.038018433,1726,3.794478528,34.18,-118.43,2.242
233,2.1635,22,4.787234043,1.03930131,1007,2.505962521,38.66,-121.31,0.875
234,2.9952,18,4.335740072,1.002949853,1036,3.509174312,33.96,-118.2,1.514
235,2.7059,19,4.386243386,1.13022113,2245,2.764227642,36.98,-121.84,1.55
236,1.8897,33,4.518615385,1.056379822,2975,4.161538462,33.96,-118.24,0.997
237,8.5153,28,7.386160714,1.091145833,599,2.559061338,37.36,-122.18,3.8
238,3.7708,2,6.222222222,1.133333333,826,2.988888889,33.98,-117.35,1.3
239,3.6736,33,4.895074946,1.053619303,2343,3.522565321,34.08,-118.08,2.217
240,2.8036,26,5.255033557,1.073825503,754,3.26448737,34.12,-117.88,1.794
241,3.016,17,3.672376874,1.050647821,1818,1.629564193,33.02,-117.06,1.528
242,2.4605,24,5.41554559,1.04973357,974,2.398926655,38.48,-121.46,0.83
243,1.5814,46,1.625592417,1.054413543,2453,2.262402089,34.06,-118.27,1.375
244,7.3081,26,6.802554082,1.069364162,2511,2.596412556,33.97,-118.54,5.00001
245,1.9189,32,3.211604096,1.147299509,2389,3.480988593,33.99,-118.25,1.083
246,1.8472,25,4.835443038,1.33976834,1054,2.698734177,33.93,-116.2,0.612
247,6.7718,36,6.25739645,1.020304569,857,2.438413361,37.36,-122.09,3.06
248,3.4287,25,5.323529412,1.066176471,2330,3.625,33.85,-117.97,1.817
249,2.9531,21,5.436813187,1.108391608,1782,3.098290598,34.08,-117.42,1.163
250,7.898,10,6.602316602,1.058275058,1348,2.038555692,37.46,-121.87,4.65
251,4.5074,10,6.053072626,1.07977208,1132,2.68707483,39.11,-121.62,1.609
252,3.7167,7,5.769585253,1.018978102,3538,3.734256927,34.08,-117.46,1.814
253,5.0779,15,6.454682713,1.083150985,1558,3.087824351,32.98,-117.13,2.083
254,3.8,16,4.780856423,0.986856517,494,2.815533981,33.8,-117.86,1.833
255,10.2264,50,7.873015873,1.111111111,1188,2.777777778,34.18,-118.28,5.00001
256,2.0272,20,4.087249071,1.077760498,1194,2.111587983,33.74,-116.96,0.901
257,3.3553,24,5.433628319,0.985915493,1753,3.650385604,34.08,-117.36,0.944
258,3.015,17,6.473451327,1.119469027,1344,2.202816901,33.2,-117.23,1.554
259,2.2875,20,5.705454545,1.095454545,728,2.784090909,39.23,-123.21,1.609
260,2.1522,34,5.024793388,1.083743842,851,4.430528376,32.7,-117.13,0.571
261,5.6975,43,6.198419666,0.994382022,1508,2.863786408,37.59,-122.49,3.266
262,3.9032,24,4.620967742,1.097661623,1839,1.959731544,33.82,-118.37,3.631
263,3.7949,50,4.883408072,1,1031,2.642533937,37.78,-122.46,4.677
264,4.7056,30,5.29489603,1.053254438,2064,3.848960302,32.68,-117.04,1.261
265,1.3029,16,3.901477833,1.071428571,2183,2.0651341,32.76,-114.6,0.43
266,1.3569,9,4.746458924,1.142622951,2051,4.322946176,36.75,-120.64,0.675
267,2.6016,19,4.041284404,1.016746412,1634,3.68641115,32.7,-117.13,1.353
268,4.8125,13,6.805084746,1.056140351,1423,3.115254237,37.23,-121.8,2.349
269,1.3157,27,4.132550336,1.091254753,2382,3.119760479,33.99,-118.28,0.842
270,5.1647,25,5.163636364,0.977272727,675,2.845454545,38.35,-122.3,2.583
271,2.9896,23,4.560810811,1.093993994,973,2.284090909,34.14,-117.94,2.094
272,4.2067,13,5.970642202,0.998470948,884,2.829218107,34.65,-118.23,1.461
273,2.2542,9,4.306010929,1.139344262,1567,4.281420765,33.88,-118.17,1.35
274,4.6207,37,5.539184953,1.030150754,741,2.444723618,37.66,-122.42,3.252
275,4.2547,34,5.639830508,1.023728814,982,3.889830508,33.85,-117.93,1.737
276,6.2924,16,7.061371841,1.006849315,1399,2.895622896,33.2,-117.26,2.882
277,6.6013,26,6.075144509,1.012396694,871,2.848156182,33.77,-118.27,2.887
278,1.9417,21,4.701421801,1.109792285,3031,2.414944356,40.57,-122.34,0.932
279,2.1094,16,3.666666667,1.053030303,770,2.666666667,34.17,-118.12,2.005
280,5.3154,16,5.564485981,0.947775629,3502,3.142348754,33.86,-117.79,1.845
281,2.5882,19,3.796915167,1.054474708,1872,4.521472393,34.09,-118.21,1.235
282,5.7097,26,5.964114833,0.973684211,600,2.780135823,34.26,-119.17,2.776
283,2.0549,22,4.135021097,1.347503374,3339,1.429864253,33.93,-116.95,0.55
284,5.0287,16,5.164179104,1.086567164,1266,1.920152091,33.86,-118.38,2.493
285,3.6875,15,5.164835165,1.056910569,616,2.737891738,38.49,-122.59,1.917
286,2.6339,16,4.706422018,1.045378151,1111,2.843205575,32.86,-117.19,1.667
287,5.6864,16,6.061538462,0.99756691,1296,3.725641026,33.7,-117.97,2.164
288,4.7022,37,5.495103373,0.955882353,1345,2.386554622,37.53,-122.29,3.552
289,4.8611,31,5.724911452,0.995327103,2690,2.648598131,37.74,-122.45,3.964
290,1.088,35,2.744807122,1.101388889,1257,1.471641791,34.06,-118.31,3.25
291,3.7946,28,4.624539877,1.077300613,2987,2.501113586,33.86,-118.27,1.969
292,4.0536,16,5.412429379,0.998470948,3527,2.838202247,33.83,-117.22,1.151
293,2.4432,23,4.742203742,1.064516129,985,2.540897098,40.45,-122.24,0.903
294,5.2227,16,5.79972067,0.997206704,1319,3.13317757,37.58,-122.08,2.676
295,2.7546,11,5.009725906,1.098984772,1974,1.964809384,33.66,-117.19,1.505
296,3.6548,28,4.44534413,1.171806167,1419,2.067833698,38.22,-121.92,2.346
297,4.2132,16,5.008928571,0.991071429,2355,1.932659933,33.2,-117.24,1.345
298,12.2145,52,8.444954128,1.100917431,726,3.178899083,34.11,-118.33,5.00001
299,2.4726,47,3.67318612,1.134796238,1175,4.150197628,34,-118.23,1.373
300,3,43,4.023684211,0.947368421,495,2.610526316,34.02,-118.13,2.097
301,5.1386,15,7.426829268,1.75,707,2.658536585,32.72,-116.25,2.391
302,2.2542,26,5.715789474,1.025437202,1363,2.41191067,38.53,-121.45,0.968
303,3.4712,9,5.230379747,1,1601,2.992805755,32.58,-117.08,1.014
304,3.4167,32,3.6359447,1.059561129,1669,1.998817967,34.15,-118.24,2.627
305,7.0844,44,6.874251497,1.065868263,697,2.700598802,33.97,-118.04,2.598
306,6.3716,25,5.813333333,1.018333333,1686,2.728888889,33.93,-118.37,3.431
307,2.9828,22,4.624830393,1.066303361,1636,2.577844311,34.02,-117.35,1.172
308,5.5591,4,4.396825397,1.138095238,1070,2.160714286,33.71,-117.77,2.417
309,3.625,22,3.137648131,1.052410901,1151,2.04975923,33.66,-117.81,3.772
310,2.5644,15,5.035175879,1.021989529,1385,3.613924051,34.04,-117.33,0.664
311,4.1098,4,5.676945245,1.044568245,2164,1.976253298,37.39,-121.91,2.645
312,1.8444,20,1.986547085,1.052631579,1065,1.891373802,34.04,-118.34,1.556
313,6.3191,28,6.511392405,0.99795082,450,2.727848101,37.54,-122,3.656
314,5.253,13,6.176136364,1.054488889,1580,2.190972222,33.81,-117.8,2.489
315,5.0201,24,6.113772455,1.043521127,1149,3.172588832,33.84,-117.92,2.456
316,4.5699,23,5.465753425,1.054794521,7235,3.063926941,33.74,-117.95,3.294
317,3.016,23,4.031578947,1.078947368,590,4.930288066,33.97,-118.02,1.61
318,5.815,5,6.685121107,1.146730463,6682,3.065743945,33.77,-117.79,2.671
319,2.6767,28,4.584288052,1.071713147,1413,2.700104329,37.7,-122.24,2.094
320,6.3957,5,6.540913921,0.925816024,1741,2.447236181,32.97,-117.07,2.688
321,2.3864,22,5.34845735,1.011952191,6274,3.98399326,37.7,-120.77,1.425
322,4.1641,10,5.54601227,1.08500401,1344,2.230519481,37.26,-121.83,1.585
323,3.1523,44,4.91747851,1.054498715,982,2.735189873,37.71,-122.4,2.609
324,2.2169,25,3.972491909,1.008805031,1968,2.448529412,34.17,-118.35,1.516
325,2.1136,37,4.803418803,1.016736402,733,2.584415584,39.13,-121.57,0.643
326,6.0162,41,5.934179223,1.026479751,964,2.450331126,34.12,-118.06,5.00001
327,4.5428,35,4.442100098,1.072404372,1353,2.122362869,33.88,-118.4,4.385
